survey,row_id,col,text,lang,sentiment,sentiment_score,topic,topic_score
canteen,2,18,йфыцвуак,ru,neu,0.8271809816360474,other,0.2768186926841736
canteen,6,18,sdfetrghy,ru,neu,0.7973316311836243,other,0.17676836252212524
canteen,7,18,aXSDSC,ru,neu,0.7898211479187012,other,0.18235883116722107
canteen,11,18,фйыцвуакпервноглшд,ru,neg,0.7515586614608765,other,0.31050801277160645
canteen,12,18,яфчысвамипкт,ru,neu,0.8269593119621277,other,0.26727503538131714
canteen,13,18,"выцаупекрнголзжэх\ъ
47",ru,neu,0.8243952393531799,other,0.3904338479042053
canteen,14,18,ghjnkm,ru,neu,0.6048463582992554,other,0.3684723973274231
canteen,15,18,ghjnkm,ru,neu,0.6048463582992554,other,0.3684723973274231
canteen,16,18,sdfghtj,ru,neu,0.8251176476478577,other,0.3380277454853058
canteen,18,18,ответАйдана,ru,neu,0.7732049226760864,general,0.40673407912254333
canteen,20,18,azsdfgh,ru,neg,0.7517380714416504,other,0.24718424677848816
canteen,29,18,менять меню почаще.,ru,neu,0.8298419713973999,menu,0.6157052516937256
canteen,30,18,"Раньше никаких проблем с ЖКТ не было. Сейчас прохожу лечение с диагнозом гастрит, панкреатит",ru,pos,0.9572469592094421,other,0.39047324657440186
canteen,41,18,Разнообразить меню. Готовые блюда.,ru,neu,0.8163815140724182,menu,0.8009457588195801
canteen,42,18,"Разнообразить меню, побольше бы рыбных и мясных блюд",ru,neu,0.8110589385032654,menu,0.7696418762207031
canteen,43,18,Добавить разнообразие,ru,neu,0.8184535503387451,other,0.3827446699142456
canteen,45,18,улучшить порцию (увеличить) и площадь посещение столовой тоже.,ru,neu,0.7592682242393494,portions,0.4941718578338623
canteen,46,18,"Было бы хорошо если будет нормальные порции и выбор, кстати грубая поварша",ru,neu,0.817145824432373,portions,0.5096825361251831
canteen,49,18,"Еда на свх холодная, нет подогрева. Нет  помещения где можно оставить верхнюю одежду, а зима близко.",ru,neu,0.8193389177322388,taste,0.4718760550022125
canteen,50,18,"Еда не горячая, меню разнообразить, порции маленькие",ru,neu,0.8201140761375427,portions,0.7738944292068481
canteen,51,18,"Еда теплая,",ru,pos,0.7707153558731079,taste,0.6657404899597168
canteen,53,18,"Желательно рыбу, мясо, овощи, 
Сезонные фрукты,",ru,neu,0.7912617325782776,menu,0.6781290769577026
canteen,54,18,"Добавьте в зимнее время кофе и диетические блюда по принципу стол 5 или ПП, для тех кто на диете",ru,neu,0.644927442073822,menu,0.5631974935531616
canteen,55,18,"Побольше тушенных овощей, рыбу, кофе.",ru,neu,0.8297296166419983,taste,0.6553794145584106
canteen,56,18,Иногда горячая вода/компот/супы пахнут хлоркой,ru,neu,0.8285526633262634,water,0.8475134968757629
canteen,60,18,ВСЁ ОТЛИЧНО.,ru,neg,0.751448929309845,general,0.8505580425262451
canteen,62,18,Порции маленькие,ru,neu,0.8294336795806885,portions,0.624064564704895
